Image,A,B,Ap,An,Bn,A1,A2,Volume
pf_A_5.16_A2_1.25_R_0.5.vti,4.95,1.23,4.46,6.33,1.27,5.16,1.25,5595.0
pf_A_5.16_A2_1.25_R_0.75.vti,4.65,1.26,4.15,6.0,1.29,5.16,1.25,5723.0
pf_A_5.16_A2_1.25_R_1.0.vti,4.43,1.24,3.99,5.67,1.21,5.16,1.25,5593.0
pf_A_5.16_A2_1.5_R_0.0.vti,5.07,1.49,4.15,5.5,1.57,5.16,1.5,5965.0
pf_A_5.16_A2_1.5_R_0.25.vti,5.37,1.49,4.4,5.25,1.5,5.16,1.5,5611.0
pf_A_5.16_A2_1.5_R_0.5.vti,5.22,1.5,4.26,6.67,1.54,5.16,1.5,5557.0
pf_A_5.16_A2_1.5_R_0.75.vti,4.93,1.52,4.01,6.33,1.46,5.16,1.5,5599.0
pf_A_5.16_A2_1.5_R_1.0.vti,4.76,1.5,3.89,6.33,1.58,5.16,1.5,5301.0
pf_A_6.19_A2_1.0_R_0.0.vti,6.05,1.0,6.05,6.67,1.0,6.19,1.0,6063.0
pf_A_6.19_A2_1.0_R_0.25.vti,6.24,1.0,6.24,6.33,1.0,6.19,1.0,5583.0
pf_A_6.19_A2_1.0_R_0.5.vti,6.45,1.0,6.45,6.0,1.0,6.19,1.0,5395.0
pf_A_6.19_A2_1.0_R_0.75.vti,6.44,1.0,6.44,9.0,1.0,6.19,1.0,5205.0
pf_A_6.19_A2_1.0_R_1.0.vti,6.32,1.0,6.32,8.5,1.0,6.19,1.0,5009.0
pf_A_6.19_A2_1.25_R_0.0.vti,6.11,1.26,5.44,7.33,1.29,6.19,1.25,5993.0
pf_A_6.19_A2_1.25_R_0.25.vti,5.99,1.25,5.36,6.67,1.25,6.19,1.25,5611.0
pf_A_6.19_A2_1.25_R_0.5.vti,5.85,1.25,5.22,6.67,1.25,6.19,1.25,5619.0
pf_A_6.19_A2_1.25_R_0.75.vti,5.49,1.25,4.91,6.33,1.27,6.19,1.25,5495.0
pf_A_6.19_A2_1.25_R_1.0.vti,4.71,1.25,4.2,6.0,1.2,6.19,1.25,6101.0
pf_A_6.19_A2_1.5_R_0.0.vti,6.24,1.5,5.1,7.67,1.53,6.19,1.5,5923.0
pf_A_6.19_A2_1.5_R_0.25.vti,6.06,1.51,4.94,7.33,1.57,6.19,1.5,5635.0
pf_A_6.19_A2_1.5_R_0.5.vti,5.8,1.49,4.75,7.0,1.5,6.19,1.5,5669.0
pf_A_6.19_A2_1.5_R_0.75.vti,5.34,1.5,4.36,6.67,1.54,6.19,1.5,5669.0
pf_A_6.19_A2_1.5_R_1.0.vti,5.03,1.5,4.11,6.67,1.54,6.19,1.5,5905.0
pf_A_7.43_A2_1.0_R_0.0.vti,7.86,1.0,7.86,10.5,1.0,7.43,1.0,5853.0
pf_A_7.43_A2_1.0_R_0.25.vti,7.58,1.0,7.58,10.0,1.0,7.43,1.0,5573.0
pf_A_7.43_A2_1.0_R_0.5.vti,7.14,1.0,7.14,9.5,1.0,7.43,1.0,5633.0
pf_A_7.43_A2_1.0_R_0.75.vti,6.86,1.0,6.86,9.5,1.0,7.43,1.0,5917.0
pf_A_7.43_A2_1.0_R_1.0.vti,6.62,1.0,6.62,9.0,1.0,7.43,1.0,5489.0
pf_A_7.43_A2_1.25_R_0.0.vti,7.43,1.26,6.62,7.67,1.28,7.43,1.25,5925.0
pf_A_7.43_A2_1.25_R_0.25.vti,8.04,1.25,7.18,11.0,1.29,7.43,1.25,5427.0
pf_A_7.43_A2_1.25_R_0.5.vti,7.65,1.25,6.83,10.5,1.24,7.43,1.25,5453.0
pf_A_7.43_A2_1.25_R_0.75.vti,7.34,1.24,6.58,10.0,1.25,7.43,1.25,5469.0
pf_A_7.43_A2_1.25_R_1.0.vti,7.15,1.24,6.41,10.0,1.25,7.43,1.25,5133.0
pf_A_7.43_A2_1.5_R_0.0.vti,7.19,1.5,5.88,8.33,1.56,7.43,1.5,5945.0
pf_A_7.43_A2_1.5_R_0.25.vti,7.41,1.5,6.04,7.67,1.53,7.43,1.5,5511.0
pf_A_7.43_A2_1.5_R_0.5.vti,7.49,1.49,6.13,7.33,1.47,7.43,1.5,5425.0
pf_A_7.43_A2_1.5_R_0.75.vti,7.84,1.51,6.39,11.0,1.57,7.43,1.5,5117.0
pf_A_7.43_A2_1.5_R_1.0.vti,7.68,1.49,6.29,10.5,1.5,7.43,1.5,4959.0
