Image Number,Label,Aspect Ratio,Mean Radius,Equivalent Radius,Area
1,159,30.519147725770075,74.93335600219268,23.978262838991785,578
1,171,1.266231205579514,16.77294338598341,15.503804272889928,698
1,182,1.2053088717055371,15.423043553615468,14.492299498476754,620
1,192,1.270418933180231,16.92057710205663,15.623063048503946,708
1,199,1.2859958876510709,16.96377548942504,15.599451306632961,703
2,24,1.7769373048537966,17.653747701446367,14.575144884930966,551
2,25,16.06763994975646,55.534103505147286,22.00775460937699,603
2,23,34.642258908027415,78.8619873478489,24.191658852877865,564
2,26,1.5148407641998023,15.925806233648483,13.866890930310328,526
2,39,1.4479262048305404,16.835880543031138,14.881739322154115,615
2,49,1.526577817083459,15.880647877721863,13.79204187664165,519
2,59,1.6420243485049406,18.232382266055712,15.454331375664024,636
2,61,1.7065538037423584,17.111159471300205,14.318783098873311,539
2,79,1.6403889852903033,18.137138133098265,15.378706637419004,630
2,88,1.4767880040277046,17.058053262195568,14.979250403963219,619
2,99,1.657994863139664,18.39270768840001,15.54000932933334,641
2,111,7.58018675327336,33.889759960181024,17.252095660932536,476
2,119,1.4968632264805803,17.090169123637708,14.940059282583977,613
2,131,1.4894307630183656,17.309868259636406,15.157246820908343,632
2,138,1.5411672593944734,16.048320997450816,13.893543049060716,525
2,150,1.6657421089553721,18.749328150043308,15.81672104946734,663
2,159,36.84964439547664,78.84599698222976,23.693827119052937,530
2,171,1.6526987621990152,18.320286199207676,15.495336788144645,638
2,182,1.5208052554363487,16.183054567701962,14.072436478628537,541
2,192,1.6714245258473008,18.809587505857795,15.849552864048889,665
2,199,1.651695968839872,18.414925889731716,15.578534692303348,645
3,24,2.028512289270644,18.288528569752202,14.447284242458174,518
3,25,13.655228016440356,49.643920483147966,20.769836885099085,567
3,23,37.69078274454071,80.4895541882304,24.00644228075428,540
3,26,1.8435599439733843,16.322309995719976,13.311567559295304,454
3,39,1.7561675513170698,17.803261351396305,14.756303687401944,567
3,49,1.8295398501113576,16.061934980124327,13.132595641543562,443
3,59,1.99311193015599,19.494150706098115,15.49032119241157,599
3,61,2.03737235770924,17.73499775017658,13.989676370385697,485
3,79,1.9797327719106521,19.233016334101222,15.317170371321048,587
3,88,1.764946328193152,17.753020142486687,14.690223776610209,561
3,99,2.0009298993335785,19.597454131001935,15.552099710661238,603
3,111,2.097883903775335,16.806836405096487,13.128813805194014,423
3,119,1.742210134161468,17.70107146121242,14.71067870434446,565
3,131,1.7680821694344842,18.144884953011523,15.005601337057449,585
3,138,1.7990579898821282,16.159579897473304,13.286635228798202,456
3,150,1.9776492185453354,19.91452579224461,15.865492156823427,630
3,159,41.278361139561284,81.2153546995022,23.499790827176295,502
3,171,1.9758232555538282,19.32824101937907,15.403153200132165,594
3,182,1.8222601901203321,16.651148948811603,13.632455118103591,478
3,192,1.9459332426803668,19.76986537279072,15.835352407664095,631
3,199,1.9880912641234088,19.775954750043713,15.72746355087945,618
4,25,12.1176982355786,46.14287698756388,20.089291693901842,552
4,23,40.38768759835978,80.7334547943343,23.53082792895098,507
4,24,2.2605267882443556,18.545726079011924,14.131034443385264,478
4,26,1.9920338197462004,15.805983646215882,12.56191814408679,394
4,39,1.9373045517335095,18.11255967019893,14.529383809366037,532
4,49,1.9936247262736186,15.385130531558003,12.224188779130792,373
4,59,2.2086804368402477,20.280069497000888,15.57250494445063,585
4,61,2.251860022633691,17.999687969319748,13.7325497025256,452
4,79,2.187726451757816,19.958118044948296,15.374060332114016,572
4,88,1.9463610825347848,18.03501141373242,14.444703024487236,525
4,99,2.225060786010024,20.44193530154744,15.658183661684319,590
4,111,2.180718422351231,16.43234939276833,12.671648857246144,389
4,119,1.9510507577151879,17.987806590875095,14.395343087046223,521
4,131,1.9380810768619927,18.453577500825592,14.800961401194353,552
4,138,2.0399515035523046,15.97464663928631,12.595767802085103,393
4,150,2.178592450289182,20.80201262601451,16.046489054327466,624
4,159,44.28280140311094,82.59719294061661,23.346418110024587,484
4,171,2.203408596772119,20.1342984859305,15.472891831043441,578
4,182,2.01762578936869,16.540558644433162,13.089909177699433,426
